Адр,МК,IP,CR,AR,DR,SP,BR,AC,PS,NZVCСчМК
78,81A4084002,10F,0280,10E,0280,000,010E,0000,004,010079
79,8189044002,10F,0280,10E,0280,000,010E,0000,004,01007A
7A,817D024002,10F,0280,10E,0280,000,010E,0000,004,01007D
7D,8183014002,10F,0280,10E,0280,000,010E,0000,004,01007E
7E,8181801002,10F,0280,10E,0280,000,010E,0000,004,010081
81,0010C09210,10F,0280,10E,0280,000,010E,FFFF,008,100082
82,80C4101040,10F,0280,10E,0280,000,010E,FFFF,008,1000C4
C4,80DE801040,10F,0280,10E,0280,000,010E,FFFF,008,1000DE
DE,4000000000,10F,0280,10E,0280,000,010E,FFFF,008,1000DF
DF,8001101040,10F,0280,10E,0280,000,010E,FFFF,008,100001
01,00A0009004,10F,0280,10F,0280,000,010F,FFFF,008,100002
02,0104009420,110,0280,10F,0000,000,010F,FFFF,008,100003
03,0002009001,110,0000,10F,0000,000,010F,FFFF,008,100004
04,8109804002,110,0000,10F,0000,000,010F,FFFF,008,100005
05,810C404002,110,0000,10F,0000,000,010F,FFFF,008,100006
06,810C204002,110,0000,10F,0000,000,010F,FFFF,008,100007
07,8078104002,110,0000,10F,0000,000,010F,FFFF,008,100078
78,81A4084002,110,0000,10F,0000,000,010F,FFFF,008,100079
79,8189044002,110,0000,10F,0000,000,010F,FFFF,008,10007A
7A,817D024002,110,0000,10F,0000,000,010F,FFFF,008,10007B
7B,80C4014002,110,0000,10F,0000,000,010F,FFFF,008,1000C4
C4,80DE801040,110,0000,10F,0000,000,010F,FFFF,008,1000DE
DE,4000000000,110,0000,10F,0000,000,010F,FFFF,008,1000DF
DF,8001101040,110,0000,10F,0000,000,010F,FFFF,008,100001
01,00A0009004,110,0000,110,0000,000,0110,FFFF,008,100002
02,0104009420,111,0000,110,0000,000,0110,FFFF,008,100003
03,0002009001,111,0000,110,0000,000,0110,FFFF,008,100004
04,8109804002,111,0000,110,0000,000,0110,FFFF,008,100005
05,810C404002,111,0000,110,0000,000,0110,FFFF,008,100006
06,810C204002,111,0000,110,0000,000,0110,FFFF,008,100007
07,8078104002,111,0000,110,0000,000,0110,FFFF,008,100078
78,81A4084002,111,0000,110,0000,000,0110,FFFF,008,100079
79,8189044002,111,0000,110,0000,000,0110,FFFF,008,10007A
7A,817D024002,111,0000,110,0000,000,0110,FFFF,008,10007B
7B,80C4014002,111,0000,110,0000,000,0110,FFFF,008,1000C4
C4,80DE801040,111,0000,110,0000,000,0110,FFFF,008,1000DE
DE,4000000000,111,0000,110,0000,000,0110,FFFF,008,1000DF
DF,8001101040,111,0000,110,0000,000,0110,FFFF,008,100001
01,00A0009004,111,0000,111,0000,000,0111,FFFF,008,100002
02,0104009420,112,0000,111,0000,000,0111,FFFF,008,100003
03,0002009001,112,0000,111,0000,000,0111,FFFF,008,100004
04,8109804002,112,0000,111,0000,000,0111,FFFF,008,100005
05,810C404002,112,0000,111,0000,000,0111,FFFF,008,100006
06,810C204002,112,0000,111,0000,000,0111,FFFF,008,100007
07,8078104002,112,0000,111,0000,000,0111,FFFF,008,100078
78,81A4084002,112,0000,111,0000,000,0111,FFFF,008,100079
79,8189044002,112,0000,111,0000,000,0111,FFFF,008,10007A
7A,817D024002,112,0000,111,0000,000,0111,FFFF,008,10007B
7B,80C4014002,112,0000,111,0000,000,0111,FFFF,008,1000C4
C4,80DE801040,112,0000,111,0000,000,0111,FFFF,008,1000DE
DE,4000000000,112,0000,111,0000,000,0111,FFFF,008,1000DF
DF,8001101040,112,0000,111,0000,000,0111,FFFF,008,100001
01,00A0009004,112,0000,112,0000,000,0112,FFFF,008,100002
02,0104009420,113,0000,112,0000,000,0112,FFFF,008,100003
03,0002009001,113,0000,112,0000,000,0112,FFFF,008,100004
04,8109804002,113,0000,112,0000,000,0112,FFFF,008,100005
05,810C404002,113,0000,112,0000,000,0112,FFFF,008,100006
06,810C204002,113,0000,112,0000,000,0112,FFFF,008,100007
07,8078104002,113,0000,112,0000,000,0112,FFFF,008,100078
78,81A4084002,113,0000,112,0000,000,0112,FFFF,008,100079
79,8189044002,113,0000,112,0000,000,0112,FFFF,008,10007A
7A,817D024002,113,0000,112,0000,000,0112,FFFF,008,10007B
7B,80C4014002,113,0000,112,0000,000,0112,FFFF,008,1000C4
C4,80DE801040,113,0000,112,0000,000,0112,FFFF,008,1000DE
DE,4000000000,113,0000,112,0000,000,0112,FFFF,008,1000DF
DF,8001101040,113,0000,112,0000,000,0112,FFFF,008,100001
01,00A0009004,113,0000,113,0000,000,0113,FFFF,008,100002
02,0104009420,114,0000,113,0000,000,0113,FFFF,008,100003
03,0002009001,114,0000,113,0000,000,0113,FFFF,008,100004
04,8109804002,114,0000,113,0000,000,0113,FFFF,008,100005
05,810C404002,114,0000,113,0000,000,0113,FFFF,008,100006
06,810C204002,114,0000,113,0000,000,0113,FFFF,008,100007
07,8078104002,114,0000,113,0000,000,0113,FFFF,008,100078
78,81A4084002,114,0000,113,0000,000,0113,FFFF,008,100079
79,8189044002,114,0000,113,0000,000,0113,FFFF,008,10007A
7A,817D024002,114,0000,113,0000,000,0113,FFFF,008,10007B
7B,80C4014002,114,0000,113,0000,000,0113,FFFF,008,1000C4
C4,80DE801040,114,0000,113,0000,000,0113,FFFF,008,1000DE
DE,4000000000,114,0000,113,0000,000,0113,FFFF,008,1000DF
DF,8001101040,114,0000,113,0000,000,0113,FFFF,008,100001
01,00A0009004,114,0000,114,0000,000,0114,FFFF,008,100002
02,0104009420,115,0000,114,0000,000,0114,FFFF,008,100003
03,0002009001,115,0000,114,0000,000,0114,FFFF,008,100004
04,8109804002,115,0000,114,0000,000,0114,FFFF,008,100005
05,810C404002,115,0000,114,0000,000,0114,FFFF,008,100006
06,810C204002,115,0000,114,0000,000,0114,FFFF,008,100007
07,8078104002,115,0000,114,0000,000,0114,FFFF,008,100078
78,81A4084002,115,0000,114,0000,000,0114,FFFF,008,100079
79,8189044002,115,0000,114,0000,000,0114,FFFF,008,10007A
7A,817D024002,115,0000,114,0000,000,0114,FFFF,008,10007B
7B,80C4014002,115,0000,114,0000,000,0114,FFFF,008,1000C4
C4,80DE801040,115,0000,114,0000,000,0114,FFFF,008,1000DE
DE,4000000000,115,0000,114,0000,000,0114,FFFF,008,1000DF
DF,8001101040,115,0000,114,0000,000,0114,FFFF,008,100001
01,00A0009004,115,0000,115,0000,000,0115,FFFF,008,100002
02,0104009420,116,0000,115,0000,000,0115,FFFF,008,100003
03,0002009001,116,0000,115,0000,000,0115,FFFF,008,100004
04,8109804002,116,0000,115,0000,000,0115,FFFF,008,100005
05,810C404002,116,0000,115,0000,000,0115,FFFF,008,100006
06,810C204002,116,0000,115,0000,000,0115,FFFF,008,100007
07,8078104002,116,0000,115,0000,000,0115,FFFF,008,100078
78,81A4084002,116,0000,115,0000,000,0115,FFFF,008,100079
79,8189044002,116,0000,115,0000,000,0115,FFFF,008,10007A
7A,817D024002,116,0000,115,0000,000,0115,FFFF,008,10007B
7B,80C4014002,116,0000,115,0000,000,0115,FFFF,008,1000C4
C4,80DE801040,116,0000,115,0000,000,0115,FFFF,008,1000DE
DE,4000000000,116,0000,115,0000,000,0115,FFFF,008,1000DF
DF,8001101040,116,0000,115,0000,000,0115,FFFF,008,100001
01,00A0009004,116,0000,116,0000,000,0116,FFFF,008,100002
02,0104009420,117,0000,116,0000,000,0116,FFFF,008,100003
03,0002009001,117,0000,116,0000,000,0116,FFFF,008,100004
04,8109804002,117,0000,116,0000,000,0116,FFFF,008,100005
05,810C404002,117,0000,116,0000,000,0116,FFFF,008,100006
06,810C204002,117,0000,116,0000,000,0116,FFFF,008,100007
07,8078104002,117,0000,116,0000,000,0116,FFFF,008,100078
78,81A4084002,117,0000,116,0000,000,0116,FFFF,008,100079
79,8189044002,117,0000,116,0000,000,0116,FFFF,008,10007A
7A,817D024002,117,0000,116,0000,000,0116,FFFF,008,10007B
7B,80C4014002,117,0000,116,0000,000,0116,FFFF,008,1000C4
C4,80DE801040,117,0000,116,0000,000,0116,FFFF,008,1000DE
DE,4000000000,117,0000,116,0000,000,0116,FFFF,008,1000DF
DF,8001101040,117,0000,116,0000,000,0116,FFFF,008,100001
01,00A0009004,117,0000,117,0000,000,0117,FFFF,008,100002
02,0104009420,118,0000,117,0000,000,0117,FFFF,008,100003
03,0002009001,118,0000,117,0000,000,0117,FFFF,008,100004
04,8109804002,118,0000,117,0000,000,0117,FFFF,008,100005
05,810C404002,118,0000,117,0000,000,0117,FFFF,008,100006
06,810C204002,118,0000,117,0000,000,0117,FFFF,008,100007
07,8078104002,118,0000,117,0000,000,0117,FFFF,008,100078
78,81A4084002,118,0000,117,0000,000,0117,FFFF,008,100079
79,8189044002,118,0000,117,0000,000,0117,FFFF,008,10007A
7A,817D024002,118,0000,117,0000,000,0117,FFFF,008,10007B
7B,80C4014002,118,0000,117,0000,000,0117,FFFF,008,1000C4
C4,80DE801040,118,0000,117,0000,000,0117,FFFF,008,1000DE
DE,4000000000,118,0000,117,0000,000,0117,FFFF,008,1000DF
DF,8001101040,118,0000,117,0000,000,0117,FFFF,008,100001
01,00A0009004,118,0000,118,0000,000,0118,FFFF,008,100002
02,0104009420,119,0000,118,0000,000,0118,FFFF,008,100003
03,0002009001,119,0000,118,0000,000,0118,FFFF,008,100004
04,8109804002,119,0000,118,0000,000,0118,FFFF,008,100005
05,810C404002,119,0000,118,0000,000,0118,FFFF,008,100006
06,810C204002,119,0000,118,0000,000,0118,FFFF,008,100007
07,8078104002,119,0000,118,0000,000,0118,FFFF,008,100078
78,81A4084002,119,0000,118,0000,000,0118,FFFF,008,100079
79,8189044002,119,0000,118,0000,000,0118,FFFF,008,10007A
7A,817D024002,119,0000,118,0000,000,0118,FFFF,008,10007B
7B,80C4014002,119,0000,118,0000,000,0118,FFFF,008,1000C4
C4,80DE801040,119,0000,118,0000,000,0118,FFFF,008,1000DE
DE,4000000000,119,0000,118,0000,000,0118,FFFF,008,1000DF
DF,8001101040,119,0000,118,0000,000,0118,FFFF,008,100001
01,00A0009004,119,0000,119,0000,000,0119,FFFF,008,100002
02,0104009420,11A,0000,119,0000,000,0119,FFFF,008,100003
03,0002009001,11A,0000,119,0000,000,0119,FFFF,008,100004
04,8109804002,11A,0000,119,0000,000,0119,FFFF,008,100005
05,810C404002,11A,0000,119,0000,000,0119,FFFF,008,100006
06,810C204002,11A,0000,119,0000,000,0119,FFFF,008,100007
07,8078104002,11A,0000,119,0000,000,0119,FFFF,008,100078
78,81A4084002,11A,0000,119,0000,000,0119,FFFF,008,100079
79,8189044002,11A,0000,119,0000,000,0119,FFFF,008,10007A
7A,817D024002,11A,0000,119,0000,000,0119,FFFF,008,10007B
7B,80C4014002,11A,0000,119,0000,000,0119,FFFF,008,1000C4
C4,80DE801040,11A,0000,119,0000,000,0119,FFFF,008,1000DE
DE,4000000000,11A,0000,119,0000,000,0119,FFFF,008,1000DF
DF,8001101040,11A,0000,119,0000,000,0119,FFFF,008,100001
01,00A0009004,11A,0000,11A,0000,000,011A,FFFF,008,100002
02,0104009420,11B,0000,11A,0000,000,011A,FFFF,008,100003
03,0002009001,11B,0000,11A,0000,000,011A,FFFF,008,100004
04,8109804002,11B,0000,11A,0000,000,011A,FFFF,008,100005
05,810C404002,11B,0000,11A,0000,000,011A,FFFF,008,100006
06,810C204002,11B,0000,11A,0000,000,011A,FFFF,008,100007
07,8078104002,11B,0000,11A,0000,000,011A,FFFF,008,100078
78,81A4084002,11B,0000,11A,0000,000,011A,FFFF,008,100079
79,8189044002,11B,0000,11A,0000,000,011A,FFFF,008,10007A
7A,817D024002,11B,0000,11A,0000,000,011A,FFFF,008,10007B
7B,80C4014002,11B,0000,11A,0000,000,011A,FFFF,008,1000C4
C4,80DE801040,11B,0000,11A,0000,000,011A,FFFF,008,1000DE
DE,4000000000,11B,0000,11A,0000,000,011A,FFFF,008,1000DF
DF,8001101040,11B,0000,11A,0000,000,011A,FFFF,008,100001
01,00A0009004,11B,0000,11B,0000,000,011B,FFFF,008,100002
02,0104009420,11C,0000,11B,0000,000,011B,FFFF,008,100003
03,0002009001,11C,0000,11B,0000,000,011B,FFFF,008,100004
04,8109804002,11C,0000,11B,0000,000,011B,FFFF,008,100005
05,810C404002,11C,0000,11B,0000,000,011B,FFFF,008,100006
06,810C204002,11C,0000,11B,0000,000,011B,FFFF,008,100007
07,8078104002,11C,0000,11B,0000,000,011B,FFFF,008,100078
78,81A4084002,11C,0000,11B,0000,000,011B,FFFF,008,100079
79,8189044002,11C,0000,11B,0000,000,011B,FFFF,008,10007A
7A,817D024002,11C,0000,11B,0000,000,011B,FFFF,008,10007B
7B,80C4014002,11C,0000,11B,0000,000,011B,FFFF,008,1000C4
C4,80DE801040,11C,0000,11B,0000,000,011B,FFFF,008,1000DE
DE,4000000000,11C,0000,11B,0000,000,011B,FFFF,008,1000DF
DF,8001101040,11C,0000,11B,0000,000,011B,FFFF,008,100001
01,00A0009004,11C,0000,11C,0000,000,011C,FFFF,008,100002
02,0104009420,11D,0000,11C,0000,000,011C,FFFF,008,100003
03,0002009001,11D,0000,11C,0000,000,011C,FFFF,008,100004
04,8109804002,11D,0000,11C,0000,000,011C,FFFF,008,100005
05,810C404002,11D,0000,11C,0000,000,011C,FFFF,008,100006
06,810C204002,11D,0000,11C,0000,000,011C,FFFF,008,100007
07,8078104002,11D,0000,11C,0000,000,011C,FFFF,008,100078
78,81A4084002,11D,0000,11C,0000,000,011C,FFFF,008,100079
79,8189044002,11D,0000,11C,0000,000,011C,FFFF,008,10007A
7A,817D024002,11D,0000,11C,0000,000,011C,FFFF,008,10007B
7B,80C4014002,11D,0000,11C,0000,000,011C,FFFF,008,1000C4
C4,80DE801040,11D,0000,11C,0000,000,011C,FFFF,008,1000DE
DE,4000000000,11D,0000,11C,0000,000,011C,FFFF,008,1000DF
DF,8001101040,11D,0000,11C,0000,000,011C,FFFF,008,100001
01,00A0009004,11D,0000,11D,0000,000,011D,FFFF,008,100002
02,0104009420,11E,0000,11D,0000,000,011D,FFFF,008,100003
03,0002009001,11E,0000,11D,0000,000,011D,FFFF,008,100004
04,8109804002,11E,0000,11D,0000,000,011D,FFFF,008,100005
05,810C404002,11E,0000,11D,0000,000,011D,FFFF,008,100006
06,810C204002,11E,0000,11D,0000,000,011D,FFFF,008,100007
07,8078104002,11E,0000,11D,0000,000,011D,FFFF,008,100078
78,81A4084002,11E,0000,11D,0000,000,011D,FFFF,008,100079
79,8189044002,11E,0000,11D,0000,000,011D,FFFF,008,10007A
7A,817D024002,11E,0000,11D,0000,000,011D,FFFF,008,10007B
7B,80C4014002,11E,0000,11D,0000,000,011D,FFFF,008,1000C4
