Адр,МК,IP,CR,AR,DR,SP,BR,AC,PS,NZVCСчМК
01,00A0009004,3A8,EEFB,3A8,8000,000,03A8,8000,00A,101002
02,0104009420,3A9,EEFB,3A8,AF04,000,03A8,8000,00A,101003
03,0002009001,3A9,AF04,3A8,AF04,000,03A8,8000,00A,101004
04,8109804002,3A9,AF04,3A8,AF04,000,03A8,8000,00A,101009
09,800C404002,3A9,AF04,3A8,AF04,000,03A8,8000,00A,10100C
0C,8024084002,3A9,AF04,3A8,AF04,000,03A8,8000,00A,10100D
0D,0020011002,3A9,AF04,3A8,AF04,000,0004,8000,00A,10100E
0E,811C044002,3A9,AF04,3A8,AF04,000,0004,8000,00A,10101C
1C,8120024002,3A9,AF04,3A8,AF04,000,0004,8000,00A,101020
20,8023014002,3A9,AF04,3A8,AF04,000,0004,8000,00A,101021
21,0001009020,3A9,AF04,3A8,0004,000,0004,8000,00A,101022
22,8028101040,3A9,AF04,3A8,0004,000,0004,8000,00A,101028
28,813C804002,3A9,AF04,3A8,0004,000,0004,8000,00A,10103C
3C,8143204002,3A9,AF04,3A8,0004,000,0004,8000,00A,101043
43,8146104002,3A9,AF04,3A8,0004,000,0004,8000,00A,101044
44,0010C09001,3A9,AF04,3A8,0004,000,0004,0004,000,000045
45,80C4101040,3A9,AF04,3A8,0004,000,0004,0004,000,0000C4
C4,80DE801040,3A9,AF04,3A8,0004,000,0004,0004,000,0000DE
DE,4000000000,3A9,AF04,3A8,0004,000,0004,0004,000,0000DF
DF,8001101040,3A9,AF04,3A8,0004,000,0004,0004,000,000001
01,00A0009004,3A9,AF04,3A9,0004,000,03A9,0004,000,000002
02,0104009420,3AA,AF04,3A9,EEF8,000,03A9,0004,000,000003
03,0002009001,3AA,EEF8,3A9,EEF8,000,03A9,0004,000,000004
04,8109804002,3AA,EEF8,3A9,EEF8,000,03A9,0004,000,000009
09,800C404002,3AA,EEF8,3A9,EEF8,000,03A9,0004,000,00000A
0A,800C204002,3AA,EEF8,3A9,EEF8,000,03A9,0004,000,00000B
0B,8157104002,3AA,EEF8,3A9,EEF8,000,03A9,0004,000,00000C
0C,8024084002,3AA,EEF8,3A9,EEF8,000,03A9,0004,000,00000D
